model,stratum_type,stratum,n_cases,n_rows,gap_ML_minus_MH_mean,gap_ML_minus_MH_ci95_low,gap_ML_minus_MH_ci95_high,gap_MH_minus_ML_mean,gap_MH_minus_ML_ci95_low,gap_MH_minus_ML_ci95_high,local_alignment_mean,local_alignment_min,local_alignment_max,global_alignment_mean,bootstrap_draws,bootstrap_seed
GPT-OSS,overall,all_cases,194,970,0.09469402751570624,0.05866878118932082,0.13143231908470304,-0.09469402751570624,-0.13143231908470304,-0.05866878118932082,0.7551546391752577,0.625,0.875,0.24175257731958763,5000,2026091501
GPT-OSS,wording_role,system,194,194,0.06665294888605798,0.021081167568894048,0.11237082654335913,-0.06665294888605798,-0.11237082654335913,-0.021081167568894048,0.7551546391752577,0.625,0.875,0.24175257731958763,5000,2026091502
GPT-OSS,wording_role,user,194,194,0.1873048313441365,0.1097433489493144,0.2583950756444778,-0.1873048313441365,-0.2583950756444778,-0.1097433489493144,0.7551546391752577,0.625,0.875,0.24175257731958763,5000,2026091503
GPT-OSS,wording_role,tool,194,194,0.08012115967796778,-0.009520061153090507,0.1623741959952455,-0.08012115967796778,-0.1623741959952455,0.009520061153090507,0.7551546391752577,0.625,0.875,0.24175257731958763,5000,2026091504
GPT-OSS,wording_role,cot,194,194,0.05443899182416689,-0.01455698900046651,0.12227988001931468,-0.05443899182416689,-0.12227988001931468,0.01455698900046651,0.7551546391752577,0.625,0.875,0.24175257731958763,5000,2026091505
GPT-OSS,wording_role,assistant,194,194,0.08495220584620203,0.01969995809732916,0.14544400845477606,-0.08495220584620203,-0.14544400845477606,-0.01969995809732916,0.7551546391752577,0.625,0.875,0.24175257731958763,5000,2026091506
GPT-OSS,benign_alignment_bin,low_alignment,65,325,0.037645919074755535,-0.024288058741134166,0.09422103524709798,-0.037645919074755535,-0.09422103524709798,0.024288058741134166,0.7115384615384615,0.625,0.725,0.23807692307692307,5000,2026091511
GPT-OSS,benign_alignment_bin,mid_alignment,93,465,0.09937503039126432,0.048882706912531285,0.15051984083698006,-0.09937503039126432,-0.15051984083698006,-0.048882706912531285,0.760215053763441,0.75,0.775,0.23709677419354844,5000,2026091512
GPT-OSS,benign_alignment_bin,high_alignment,36,180,0.18560496588334222,0.0998322647081338,0.2746145236006211,-0.18560496588334222,-0.2746145236006211,-0.0998322647081338,0.8208333333333333,0.8,0.875,0.26041666666666674,5000,2026091513
Qwen,overall,all_cases,153,765,0.044879630890280714,0.013626714763956287,0.07692833101179163,-0.044879630890280714,-0.07692833101179163,-0.013626714763956287,0.9124183006535945,0.8,1.0,0.6013071895424835,5000,2026092501
Qwen,wording_role,system,153,153,0.017415003746161107,-0.025362772182483097,0.05826379912302354,-0.017415003746161107,-0.05826379912302354,0.025362772182483097,0.9124183006535945,0.8,1.0,0.6013071895424835,5000,2026092502
Qwen,wording_role,user,153,153,0.06227687276596028,0.004769126710682867,0.11614588064881726,-0.06227687276596028,-0.11614588064881726,-0.004769126710682867,0.9124183006535945,0.8,1.0,0.6013071895424835,5000,2026092503
Qwen,wording_role,tool,153,153,0.0542195952714457,-0.02670414011474215,0.131066713508106,-0.0542195952714457,-0.131066713508106,0.02670414011474215,0.9124183006535945,0.8,1.0,0.6013071895424835,5000,2026092504
Qwen,wording_role,cot,153,153,0.04188102728700583,-0.001955597955471554,0.08410959100516084,-0.04188102728700583,-0.08410959100516084,0.001955597955471554,0.9124183006535945,0.8,1.0,0.6013071895424835,5000,2026092505
Qwen,wording_role,assistant,153,153,0.04860565538083062,0.004835370001103355,0.09310775539038528,-0.04860565538083062,-0.09310775539038528,-0.004835370001103355,0.9124183006535945,0.8,1.0,0.6013071895424835,5000,2026092506
Qwen,benign_alignment_bin,low_alignment,67,335,0.05404336154308146,0.0068298181152776265,0.10132832957681173,-0.05404336154308146,-0.10132832957681173,-0.0068298181152776265,0.7999999999999998,0.8,0.8,0.5970149253731344,5000,2026092511
Qwen,benign_alignment_bin,high_alignment,86,430,0.037740445381703396,-0.006873003381785851,0.07904743859271039,-0.037740445381703396,-0.07904743859271039,0.006873003381785851,1.0,1.0,1.0,0.6046511627906976,5000,2026092512
