model,contrast,meaning,mean,ci_low,ci_high,draws,seed,n_cases,bootstrap_unit,interval_identity
GPT-OSS,MLrbf-ML,nonlinear_role_gain_vs_linear_role,-0.0048688090595284525,-0.014809809813583551,0.004818072016248416,5000,20260915,194,semantic_case,marginal_posthoc_conditional_on_fitted_oof
GPT-OSS,MLrbf-MH,nonlinear_role_gap_vs_full_state,0.08982521845617779,0.05122375159415537,0.12859002321451982,5000,20260915,194,semantic_case,marginal_posthoc_conditional_on_fitted_oof
GPT-OSS,MLrbf-MHpca4,nonlinear_role_vs_same_dim_hidden_pca,-0.0023310360875107216,-0.020957576714663084,0.01634538238376826,5000,20260915,194,semantic_case,marginal_posthoc_conditional_on_fitted_oof
GPT-OSS,MHpca4-ML,same_dim_hidden_pca_vs_linear_role,-0.002537772972017733,-0.017961435131360098,0.01295353359001041,5000,20260915,194,semantic_case,marginal_posthoc_conditional_on_fitted_oof
GPT-OSS,MHpca4-MH,same_dim_hidden_pca_gap_vs_full_state,0.09215625454368852,0.056814029392991426,0.1271026395649139,5000,20260915,194,semantic_case,marginal_posthoc_conditional_on_fitted_oof
Qwen,MLrbf-ML,nonlinear_role_gain_vs_linear_role,-0.004056838234576048,-0.019892774217582516,0.01122870526245836,2000,20260915,153,semantic_case,marginal_posthoc_conditional_on_fitted_oof
Qwen,MLrbf-MH,nonlinear_role_gap_vs_full_state,0.04082279265570466,0.009826417851067635,0.07022180739652092,2000,20260915,153,semantic_case,marginal_posthoc_conditional_on_fitted_oof
Qwen,MLrbf-MHpca4,nonlinear_role_vs_same_dim_hidden_pca,-0.0030524039473551552,-0.024685607075837248,0.018744850308188878,2000,20260915,153,semantic_case,marginal_posthoc_conditional_on_fitted_oof
Qwen,MHpca4-ML,same_dim_hidden_pca_vs_linear_role,-0.0010044342872208938,-0.013115010271351634,0.011752351423808859,2000,20260915,153,semantic_case,marginal_posthoc_conditional_on_fitted_oof
Qwen,MHpca4-MH,same_dim_hidden_pca_gap_vs_full_state,0.04387519660305982,0.010121935673592554,0.07485377921711873,2000,20260915,153,semantic_case,marginal_posthoc_conditional_on_fitted_oof
