model,case_id,loss_ML,loss_MH,loss_MLrbf,loss_MHpca4
GPT-OSS,A001,0.3819167858742921,0.40380553424330035,0.4221317744415485,0.39996931302974975
GPT-OSS,A002,0.3367564930659197,0.07650834041671521,0.40441737816406453,0.3441622335285155
GPT-OSS,A003,0.33132907994177174,0.25990846817379376,0.36955589180503395,0.3162598739215752
GPT-OSS,A004,0.4293564670460902,0.2012448522423947,0.46525219100898524,0.34511374054540694
GPT-OSS,A005,0.5363219542660316,0.7155122832773504,0.35059572773017217,0.7567744013507214
GPT-OSS,A006,0.7657235915238362,0.7554344367815289,0.7944247543631016,0.5894740955089439
GPT-OSS,A007,0.4394392599721478,0.22252435788310457,0.4694105956447004,0.3357791797904086
GPT-OSS,A008,0.4194638629929922,0.3561904844905789,0.44534096805255247,0.36757620203452246
GPT-OSS,A009,0.42431928131952273,0.2514214560115676,0.5108631124498288,0.3914074456913446
GPT-OSS,A010,0.47657931882379384,0.48715699516881783,0.48890858548203725,0.3998282485646309
GPT-OSS,A011,0.6318152569624793,0.4480202827451324,0.6422773822040811,0.5670019486235457
GPT-OSS,A012,0.5938409400207059,0.7632790448991733,0.5201563071235459,0.7511321959911939
GPT-OSS,A013,0.508155088370321,0.5090857720739761,0.46904745091414535,0.3830069872829711
GPT-OSS,A014,0.3899931348105022,0.30756319261270404,0.4395275699919898,0.42131655460393846
GPT-OSS,A015,0.38823545715826535,0.36785623287511543,0.399753643243585,0.385136090606139
GPT-OSS,A016,0.8569472477357328,0.436697027067121,0.9744141960566222,0.7851655882564296
GPT-OSS,A017,0.48004789592043373,0.5978109549943476,0.4448960560290175,0.7356761778870489
GPT-OSS,A018,0.709428055977523,0.8164749075914269,0.747715988661999,0.5967790307277816
GPT-OSS,A019,0.5101044561511949,0.48412257947858917,0.5974829531883568,0.3875854355660257
GPT-OSS,A020,0.6795238091207274,0.5692046481154838,0.5997745914350017,0.6677765749210585
GPT-OSS,A021,0.4131445852193366,0.42145995945913295,0.4231528091079061,0.39827737886827674
GPT-OSS,A022,0.8699231635836542,0.35908247990623005,0.8727861279259692,0.6258028721321764
GPT-OSS,A023,0.7376827820569208,0.2820960281921928,0.7457711585120128,0.6464265674967011
GPT-OSS,A024,0.4788418125078783,0.6879293950944984,0.38030164694677565,0.646036094861695
GPT-OSS,A025,0.5248750924389991,0.25773184428861623,0.5624542229758022,0.3449250529141552
GPT-OSS,A026,0.8769088811534098,0.780023662600523,0.9561787616959844,0.9427381790651115
GPT-OSS,A027,1.2525897304375735,1.2139237942669454,1.0721137442308677,1.0193019200778406
GPT-OSS,A028,0.9137367655936769,1.00219131579126,0.937997088029545,0.9134795940467079
GPT-OSS,A029,0.8911100145028445,0.5872999068724998,0.961352668953855,0.9506843810096118
GPT-OSS,A030,0.7474075248361318,0.5103552900349493,0.945713660141896,0.7458284273437974
GPT-OSS,A031,0.388152648797062,0.31087277512600997,0.4097361319863347,0.44376049538673357
GPT-OSS,A032,0.6564185457247469,0.37082899007632114,0.7438556893575686,0.8648181863916168
GPT-OSS,A033,0.7586384974509851,0.29622327135123033,0.8024054943559454,0.7520077135221512
GPT-OSS,A034,0.6397187371720044,0.500260041220874,0.6556527550152247,1.0964364766432024
GPT-OSS,A035,0.4344909078657787,0.3976683701944107,0.45015935109701133,0.47795155611409096
GPT-OSS,A036,0.4373247560243613,0.9781590393666294,0.3577260428526531,0.38892626637680017
GPT-OSS,A037,0.7655119476079086,0.297309853708654,0.7734854719663106,0.6502181945165356
GPT-OSS,A038,0.719813348483932,0.39625340977409457,0.8558573508495128,0.8613156247850846
GPT-OSS,A039,0.34627123297750784,0.18398655023899785,0.32693698268933147,0.42801830605811875
GPT-OSS,A040,0.46353697246467307,0.352559721230958,0.45058972218142757,0.48958932965664487
GPT-OSS,B001,0.37023938470968154,0.11490329581450531,0.37953322281020446,0.23074292586667672
GPT-OSS,B002,0.2397461524016443,0.14118702109259623,0.20861856724968814,0.37922154093852034
GPT-OSS,B003,0.3919518958950989,0.13780989063882798,0.3823416263859913,0.4509106720098551
GPT-OSS,B004,0.6441774058411551,0.5789797867671074,0.6814601085113996,0.6994023876699593
GPT-OSS,B005,0.6261082391293638,0.23580809854931878,0.6397141899448847,0.6623843724022358
GPT-OSS,B006,0.885626040116685,0.43458257281552914,0.8969167264187036,0.4649100196989252
GPT-OSS,B007,0.5603804100632919,0.37124758106031297,0.5219894810133464,0.7066890408571594
GPT-OSS,B008,0.24240997835931094,0.27015166939896995,0.21043035994281833,0.24451792869555042
GPT-OSS,B009,0.8629907367895594,0.7748283501652622,0.936327652245914,1.0003261473896967
GPT-OSS,B010,0.2965158218004626,0.5355243463011399,0.4327794827129705,0.30419109174150755
GPT-OSS,B011,0.5450912392417153,0.34252986495385096,0.5650707879231739,0.4376262517344056
GPT-OSS,B012,0.5123385213844993,0.5690376024178985,0.5393039392734085,0.5140140166509819
GPT-OSS,B013,1.0644440175474315,1.57434657308356,0.727818640441918,0.8568740808721624
GPT-OSS,B014,0.5330104426261699,0.4102122756463702,0.5473083510547478,0.44481536417804357
GPT-OSS,B015,0.39698855778089204,0.38387294138130956,0.49996504105493206,0.3810732388913602
GPT-OSS,B016,0.29049753790182276,0.28932616539493716,0.24855770822491102,0.4081055961875221
GPT-OSS,B017,0.4153862816978949,0.29040084295099483,0.3861647779183574,0.3840139711650109
